fort	dry	sweet	red	rose	spark	total	year_	month_	date_
2585	1954	85	464	112	1686	15136	1980	1	JAN 1980
3368	2302	89	675	118	1591	16733	1980	2	FEB 1980
3210	3054	109	703	129	2304	20016	1980	3	MAR 1980
3111	2414	95	887	99	1712	17708	1980	4	APR 1980
3756	2226	91	1139	116	1471	18019	1980	5	MAY 1980
4216	2725	95	1077	168	1377	19227	1980	6	JUN 1980
5225	2589	96	1318	118	1966	22893	1980	7	JUL 1980
4426	3470	128	1260	129	2453	23739	1980	8	AUG 1980
3932	2400	124	1120	205	1984	21133	1980	9	SEP 1980
3816	3180	111	963	147	2596	22591	1980	10	OCT 1980
3661	4009	178	996	150	4087	26786	1980	11	NOV 1980
3795	3924	140	960	267	5179	29740	1980	12	DEC 1980
2285	2072	150	530	126	1530	15028	1981	1	JAN 1981
2934	2434	132	883	129	1523	17977	1981	2	FEB 1981
2985	2956	155	894	124	1633	20008	1981	3	MAR 1981
3646	2828	132	1045	97	1976	21354	1981	4	APR 1981
4198	2687	91	1199	102	1170	19498	1981	5	MAY 1981
4935	2629	94	1287	127	1480	22125	1981	6	JUN 1981
5618	3150	109	1565	222	1781	25817	1981	7	JUL 1981
5454	4119	155	1577	214	2472	28779	1981	8	AUG 1981
3624	3030	123	1076	118	1981	20960	1981	9	SEP 1981
2898	3055	130	918	141	2273	22254	1981	10	OCT 1981
3802	3821	150	1008	154	3857	27392	1981	11	NOV 1981
2369	4001	163	1063	226	4551	29945	1981	12	DEC 1981
2369	2529	101	544	89	1510	16933	1982	1	JAN 1982
2511	2472	123	635	77	1329	17892	1982	2	FEB 1982
3079	3134	127	804	82	1518	20533	1982	3	MAR 1982
3728	2789	112	980	97	1790	23569	1982	4	APR 1982
4151	2758	108	1018	127	1537	22417	1982	5	MAY 1982
4326	2993	116	1064	121	1449	22084	1982	6	JUN 1982
5054	3282	153	1404	117	1954	26580	1982	7	JUL 1982
5138	3437	163	1286	117	1897	27454	1982	8	AUG 1982
3310	2804	128	1104	106	1706	24081	1982	9	SEP 1982
3508	3076	142	999	112	2514	23451	1982	10	OCT 1982
3790	3782	170	996	134	3593	28991	1982	11	NOV 1982
3446	3889	214	1015	169	4524	31386	1982	12	DEC 1982
2127	2271	134	615	75	1609	16896	1983	1	JAN 1983
2523	2452	122	722	108	1638	20045	1983	2	FEB 1983
3017	3084	142	832	115	2030	23471	1983	3	MAR 1983
3265	2522	156	977	85	1375	21747	1983	4	APR 1983
3822	2769	145	1270	101	1320	25621	1983	5	MAY 1983
4027	3438	169	1437	108	1245	23859	1983	6	JUN 1983
4420	2839	134	1520	109	1600	25500	1983	7	JUL 1983
5255	3746	165	1708	124	2298	30998	1983	8	AUG 1983
