pyt -> for
viqebov -> example
xp -> if
q -> a
bqcvmc -> patent
oxgvmzv -> license
jylof -> would
myc -> not
bvtexc -> permit
tyrqocr -> royalty
ptvv -> free
tvfxzctxhlcxym -> redistribution
yp -> of
cwv -> the
btystqe -> program
hr -> by
qoo -> all
cwyzv -> those
jwy -> who
tvgvxnv -> receive
gybxvz -> copies
fxtvgcor -> directly
yt -> or
xmfxtvgcor -> indirectly
cwtylsw -> through
ryl -> you
cwvm -> then
cwv -> the
ymor -> only
jqr -> way
ryl -> you
gylof -> could
zqcxzpr -> satisfy
hycw -> both
xc -> it
qmf -> and
cwxz -> this
oxgvmzv -> license
jylof -> would
hv -> be
cy -> to
tvptqxm -> refrain
vmcxtvor -> entirely
ptye -> from
fxzctxhlcxym -> distribution
yp -> of
cwv -> the
btystqe -> program
xp -> if
qmr -> any
bytcxym -> portion
yp -> of
cwxz -> this
zvgcxym -> section
xz -> is
wvof -> held
xmnqoxf -> invalid
yt -> or
lmvmpytgvqhov -> unenforceable
lmfvt -> under
qmr -> any
bqtcxgloqt -> particular
gxtglezcqmgv -> circumstance
cwv -> the
hqoqmgv -> balance
yp -> of
cwv -> the
zvgcxym -> section
xz -> is
xmcvmfvf -> intended
cy -> to
qbbor -> apply
qmf -> and
cwv -> the
zvgcxym -> section
qz -> as
q -> a
jwyov -> whole
xz -> is
xmcvmfvf -> intended
cy -> to
qbbor -> apply
xm -> in
ycwvt -> other
gxtglezcqmgvz -> circumstances
xc -> it
xz -> is
myc -> not
cwv -> the
bltbyzv -> purpose
yp -> of
cwxz -> this
zvgcxym -> section
cy -> to
xmflgv -> induce
ryl -> you
cy -> to
xmptxmsv -> infringe
qmr -> any
bqcvmcz -> patents
yt -> or
ycwvt -> other
btybvtcr -> property
txswc -> right
goqxez -> claims
yt -> or
cy -> to
gymcvzc -> contest
nqoxfxcr -> validity
yp -> of
qmr -> any
zlgw -> such
goqxez; -> claims;
cwxz -> this
zvgcxym -> section
wqz -> has
cwv -> the
zyov -> sole
bltbyzv -> purpose
yp -> of
btycvgcxms -> protecting
cwv -> the
xmcvstxcr -> integrity
yp -> of
cwv -> the
ptvv -> free
zypcjqtv -> software
fxzctxhlcxym -> distribution
zrzcve -> system
jwxgw -> which
xz -> is
xebovevmcvf -> implemented
hr -> by
blhoxg -> public
oxgvmzv -> license
btqgcxgvz -> practices
eqmr -> many
bvybov -> people
wqnv -> have
eqfv -> made
svmvtylz -> generous
gymctxhlcxymz -> contributions
cy -> to
cwv -> the
jxfv -> wide
tqmsv -> range
yp -> of
zypcjqtv -> software
fxzctxhlcvf -> distributed
cwtylsw -> through
cwqc -> that
zrzcve -> system
xm -> in
tvoxqmgv -> reliance
