u_i;p;M;L;l.1
1;10001;1;1;1
51;10001;1;1;1
102;10001;1;1;1
152;10001;1;1;1
202;10001;1;1;1
252;10001;1;1;1
303;10001;1;1;1
353;10001;1;1;1
403;10001;1;1;1
454;10001;1;1;1
504;10001;1;1;1
554;10001;1;1;1
604;10001;1;1;1
655;10001;1;1;1
705;10001;1;1;1
755;10001;1;1;1
806;10001;1;1;1
856;10001;1;1;1
906;10001;1;1;1
956;10001;1;1;1
1007;10001;1;1;1
1057;10001;1;1;1
1107;10001;1;1;1
1157;10001;1;1;1
1208;10001;1;1;1
1258;10001;1;1;1
1308;10001;1;1;1
1359;10001;1;1;1
1409;10001;1;1;1
1459;10001;1;1;1
1509;10001;1;1;1
1560;10001;1;1;1
1610;10001;1;1;1
1660;10001;1;1;1
1711;10001;1;1;1
1761;10001;1;1;1
1811;10001;1;1;1
1861;10001;1;1;1
1912;10001;1;1;1
1962;10001;1;1;1
2012;10001;1;1;1
2063;10001;1;1;1
2113;10001;1;1;1
2163;10001;1;1;1
2213;10001;1;1;1
2264;10001;1;1;1
2314;10001;1;1;1
2364;10001;1;1;1
2415;10001;1;1;1
2465;10001;1;1;1
2515;10001;1;1;1
2565;10001;1;1;1
2616;10001;1;1;1
2666;10001;1;1;1
2716;10001;1;1;1
2766;10001;1;1;1
2817;10001;1;1;1
2867;10001;1;1;1
2917;10001;1;1;1
2968;10001;1;1;1
3018;10001;1;1;1
3068;10001;1;1;1
3118;10001;1;1;1
3169;10001;1;1;1
3219;10001;1;1;1
3269;10001;1;1;1
3320;10001;1;1;1
3370;10001;1;1;1
3420;10001;1;1;1
3470;10001;1;1;1
3521;10001;1;1;1
3571;10001;1;1;1
3621;10001;1;1;1
3672;10001;1;1;1
3722;10001;1;1;1
3772;10001;1;1;1
3822;10001;1;1;1
3873;10001;1;1;1
3923;10001;1;1;1
3973;10001;1;1;1
4024;10001;1;1;1
4074;10001;1;1;1
4124;10001;1;1;1
4174;10001;1;1;1
4225;10001;1;1;1
4275;10001;1;1;1
4325;10001;1;1;1
4375;10001;1;1;1
4426;10001;1;1;1
4476;10001;1;1;1
4526;10001;1;1;1
4577;10001;1;1;1
4627;10001;1;1;1
4677;10001;1;1;1
4727;10001;1;1;1
4778;10001;1;1;1
4828;10001;1;1;1
4878;10001;1;1;1
4929;10001;1;1;1
4979;10001;1;1;1
5029;10001;1;1;1
5079;10001;1;1;1
5130;10001;1;1;1
5180;10001;1;1;1
5230;10001;1;1;1
5281;10001;1;1;1
5331;10001;1;1;1
5381;10001;1;1;1
5431;10001;1;1;1
5482;10001;1;1;1
5532;10001;1;1;1
5582;10001;1;1;1
5633;10001;1;1;1
5683;10001;1;1;1
5733;10001;1;1;1
5783;10001;1;1;1
5834;10001;1;1;1
5884;10001;1;1;1
5934;10001;1;1;1
5984;10001;1;1;1
6035;10001;1;1;1
6085;10001;1;1;1
6135;10001;1;1;1
6186;10001;1;1;1
6236;10001;1;1;1
6286;10001;1;1;1
6336;10001;1;1;1
6387;10001;1;1;1
6437;10001;1;1;1
6487;10001;1;1;1
6538;10001;1;1;1
6588;10001;1;1;1
6638;10001;1;1;1
6688;10001;1;1;1
6739;10001;1;1;1
6789;10001;1;1;1
6839;10001;1;1;1
6890;10001;1;1;1
6940;10001;1;1;1
6990;10001;1;1;1
7040;10001;1;1;1
7091;10001;1;1;1
7141;10001;1;1;1
7191;10001;1;1;1
7242;10001;1;1;1
7292;10001;1;1;1
7342;10001;1;1;1
7392;10001;1;1;1
7443;10001;1;1;1
7493;10001;1;1;1
7543;10001;1;1;1
7593;10001;1;1;1
7644;10001;1;1;1
7694;10001;1;1;1
7744;10001;1;1;1
7795;10001;1;1;1
7845;10001;1;1;1
7895;10001;1;1;1
7945;10001;1;1;1
7996;10001;1;1;1
8046;10001;1;1;1
8096;10001;1;1;1
8147;10001;1;1;1
8197;10001;1;1;1
8247;10001;1;1;1
8297;10001;1;1;1
8348;10001;1;1;1
8398;10001;1;1;1
8448;10001;1;1;1
8499;10001;1;1;1
8549;10001;1;1;1
8599;10001;1;1;1
8649;10001;1;1;1
8700;10001;1;1;1
8750;10001;1;1;1
8800;10001;1;1;1
8851;10001;1;1;1
8901;10001;1;1;1
8951;10001;1;1;1
9001;10001;1;1;1
9052;10001;1;1;1
9102;10001;1;1;1
9152;10001;1;1;1
9202;10001;1;1;1
9253;10001;1;1;1
9303;10001;1;1;1
9353;10001;1;1;1
9404;10001;1;1;1
9454;10001;1;1;1
9504;10001;1;1;1
9554;10001;1;1;1
9605;10001;1;1;1
9655;10001;1;1;1
9705;10001;1;1;1
9756;10001;1;1;1
9806;10001;1;1;1
9856;10001;1;1;1
9906;10001;1;1;1
9957;10001;1;1;1
1;10002;1;1;1
51;10002;1;1;1
102;10002;1;1;1
152;10002;1;1;1
202;10002;1;1;1
252;10002;1;1;1
303;10002;1;1;1
353;10002;1;1;1
403;10002;1;1;1
454;10002;1;1;1
504;10002;1;1;1
554;10002;1;1;1
604;10002;1;1;1
655;10002;1;1;1
705;10002;1;1;1
755;10002;1;1;1
806;10002;1;1;1
856;10002;1;1;1
906;10002;1;1;1
956;10002;1;1;1
1007;10002;1;1;1
1057;10002;1;1;1
1107;10002;1;1;1
1157;10002;1;1;1
1208;10002;1;1;1
1258;10002;1;1;1
1308;10002;1;1;1
1359;10002;1;1;1
1409;10002;1;1;1
1459;10002;1;1;1
1509;10002;1;1;1
1560;10002;1;1;1
1610;10002;1;1;1
1660;10002;1;1;1
1711;10002;1;1;1
1761;10002;1;1;1
1811;10002;1;1;1
1861;10002;1;1;1
1912;10002;1;1;1
1962;10002;1;1;1
2012;10002;1;1;1
2063;10002;1;1;1
2113;10002;1;1;1
2163;10002;1;1;1
2213;10002;1;1;1
2264;10002;1;1;1
2314;10002;1;1;1
2364;10002;1;1;1
2415;10002;1;1;1
2465;10002;1;1;1
2515;10002;1;1;1
2565;10002;1;1;1
2616;10002;1;1;1
2666;10002;1;1;1
2716;10002;1;1;1
2766;10002;1;1;1
2817;10002;1;1;1
2867;10002;1;1;1
2917;10002;1;1;1
2968;10002;1;1;1
3018;10002;1;1;1
3068;10002;1;1;1
3118;10002;1;1;1
3169;10002;1;1;1
3219;10002;1;1;1
3269;10002;1;1;1
3320;10002;1;1;1
3370;10002;1;1;1
3420;10002;1;1;1
3470;10002;1;1;1
3521;10002;1;1;1
3571;10002;1;1;1
3621;10002;1;1;1
3672;10002;1;1;1
3722;10002;1;1;1
3772;10002;1;1;1
3822;10002;1;1;1
3873;10002;1;1;1
3923;10002;1;1;1
3973;10002;1;1;1
4024;10002;1;1;1
4074;10002;1;1;1
4124;10002;1;1;1
4174;10002;1;1;1
4225;10002;1;1;1
4275;10002;1;1;1
4325;10002;1;1;1
4375;10002;1;1;1
4426;10002;1;1;1
